,id,name,proportion_technical,founder_from_institute,founder_has_phd,founder_pat_pub
742,1662959,GitGuardian,0.08333333333333333,0.0,0.0,0.0
743,1748034,Goodmix,0.5,0.0,0.0,0.0
744,1749077,Goodsid,,,,
745,892882,Guides-shopping,0.0,0.0,0.0,0.0
746,912585,Hapticmedia,0.22727272727272727,0.0,0.0,0.0
747,1480858,Heappi,0.18181818181818182,1.0,0.0,1.0
748,1511737,Homeys,,,,
749,892809,Hopfab,0.0625,0.0,0.0,0.0
750,1742840,HRmaps,0.0,0.0,0.0,0.0
751,1855454,Hubtobee,0.0,0.0,0.0,0.0
752,957748,IDECSI,0.1111111111111111,0.0,0.0,0.0
753,1742406,Ideel,0.2,0.0,0.0,0.0
754,1792251,Idomed,0.0,0.0,0.0,0.0
755,1716924,Ilek,0.05,0.0,0.0,0.0
756,869469,Influans,,,,
757,894790,Inflyter,0.0,0.0,0.0,0.0
758,1749236,Innovsante,,,,
759,1864534,INOVAYA,,,,
760,1789845,InsideBoard,0.14864864864864866,1.0,0.0,1.0
761,1482056,Itekube,0.5,0.0,0.0,0.0
762,1448477,Izicap,0.2361111111111111,0.0,0.0,1.0
763,1801785,Izilaw,,,,
764,1660451,JobyPepper,0.0,0.0,0.0,0.0
765,1747872,Jokosun,,,,
766,867128,Kawaa,0.09090909090909091,0.0,1.0,1.0
767,1480693,Kazeko,0.0625,0.0,0.0,0.0
768,1748200,Kiddizy,,,,
769,1835645,KIPLIN,0.21052631578947367,0.0,0.0,0.0
770,882476,Krank,0.2,0.0,0.0,1.0
771,1478813,Lounjee,0.1111111111111111,0.0,0.0,0.0
772,1477870,LUMI'IN,0.0,0.0,0.0,0.0
773,1662881,LysPackaging,0.058823529411764705,0.0,0.0,0.0
774,890865,mercurr,0.0,0.0,0.0,0.0
775,19318,Mipise,0.0,0.0,0.0,1.0
776,1748325,Mixdata,,,,
777,80287,Mobeye,0.14705882352941177,0.0,0.0,0.0
778,1726124,Mobistreet,0.0,0.0,0.0,0.0
779,1477043,Monemprunt.com,0.13333333333333333,0.0,0.0,0.0
780,1792365,Moneway,,,,
781,1755947,Monmentor.fr,,,,
782,958928,Moona,0.4444444444444444,0.0,0.0,0.0
783,1836114,MyTutorAbroad,0.0,0.0,0.0,0.0
784,1749284,Naker,0.0,0.0,0.0,0.0
785,888631,Newcy,0.18181818181818182,0.0,0.0,0.0
786,917748,Newheat,,,,
787,1480416,Noova,,,,
788,1683403,Novengine,1.0,0.0,0.0,0.0
789,20695,Onecub,0.0,0.0,0.0,0.0
790,894881,Openergy,0.2222222222222222,0.0,0.0,0.0
791,874211,Ouihelp,0.008,0.0,0.0,0.0
792,891146,Pandascore,0.13513513513513514,0.0,0.0,0.0
793,886232,PayCar,0.0,0.0,0.0,0.0
794,1480108,PayGenius,0.0,0.0,0.0,0.0
795,904235,Paytweak,0.0,0.0,0.0,0.0
796,1836371,Playeur.co,,,,
797,1836433,PRO-SPARE,,,,
798,1660621,Qotto,0.125,0.0,0.0,0.0
799,924741,Quantilia,,,,
800,1684458,Quantom,0.15,0.0,0.0,0.0
801,173093,Quorum,0.0,0.0,0.0,0.0
802,1836530,RESEAUPRO,0.0,0.0,0.0,0.0
803,1832864,Rolide,0.3333333333333333,0.0,0.0,0.0
804,1448149,Rool'in,1.0,0.0,0.0,0.0
805,1480932,Rougier,0.0,0.0,0.0,0.0
806,1824683,Sarus,0.2222222222222222,0.0,0.0,1.0
807,1683444,Seaturns,0.5,0.0,0.0,0.0
808,1742908,Selerys,0.3,0.0,0.0,0.0
809,909173,SellingAtHome,0.0,0.0,0.0,0.0
810,167814,Shapr,0.058823529411764705,1.0,0.0,3.0
811,1635364,Simundia,0.0,0.0,0.0,0.0
812,1483069,Skiply,0.14285714285714285,0.0,0.0,0.0
813,1248638,SoftLaw,0.2857142857142857,0.0,0.0,0.0
814,1484102,SonetSuite,0.0,0.0,0.0,0.0
815,894899,Spinergie,0.5263157894736842,1.0,0.0,0.0
816,968692,Stormize,1.0,0.0,0.0,0.0
817,870697,Swabbl,,,,
818,1846491,Synergiz,,,,
819,948972,Target2Sell,0.25925925925925924,0.0,0.0,0.0
820,912246,Teester,0.08333333333333333,0.0,0.0,0.0
821,1477667,Teqoya,0.125,0.0,0.0,0.0
822,1480402,Touchify,0.25,1.0,0.0,0.0
823,884527,Trackinsight,0.38461538461538464,0.0,0.0,0.0
824,919636,Tracktor,0.025,0.0,0.0,0.0
825,1481877,Tradefest,0.0,0.0,0.0,0.0
826,890693,TrainMe,0.06,0.0,0.0,0.0
827,1876728,TRANSPOLIS,,,,
828,1711892,Treenox,,,,
829,1712920,Vivalto Santé,,,,
830,1715756,"Aptys Pharmaceuticals SAS,",,,,
831,1710313,Co-assit,,,,
832,1722324,Openfield Technologies,,,,
833,1725528,Sloclap,,,,
834,1758915,Unaide,0.058823529411764705,0.0,0.0,0.0
835,1743493,Uneole,0.3333333333333333,0.0,0.0,0.0
836,954563,Utip,,,,
837,227608,VigiZen,,,,
838,1837034,ViJump,0.0,0.0,0.0,0.0
839,1480423,V-Motech,0.5172413793103449,0.0,0.0,0.0
840,156180,Ween,0.4,0.0,0.0,0.0
841,873606,WeeSurf,0.0,0.0,0.0,0.0
842,1480551,WeNow,0.0,0.0,0.0,1.0
843,225542,wezzoo,0.0,0.0,0.0,0.0
844,1837159,Wipoz!,0.0,0.0,0.0,0.0
845,924174,Yogosha,0.14285714285714285,1.0,0.0,0.0
846,234943,Yoopies,,,,
847,161205,Youmiam,0.08333333333333333,0.0,0.0,0.0
848,909957,YouPass,,,,
849,870960,Zenly,0.2112676056338028,0.0,0.0,0.0
850,915304,Ze-Watt,0.13333333333333333,0.0,0.0,0.0
851,1748377,Zouzoucar,,,,
852,2322,HelloFresh,,,,
853,1568647,TheFork,,,,
854,863849,Frichti,,,,
855,4452,Netatmo,,,,
856,884159,ContentSquare,,,,
857,1298469,Dental Monitoring,,,,
858,883387,Hugging Face,0.625,1.0,1.0,2.0
859,1672861,Ceva Sante Animale S.A.,,,,
860,890957,Swile (ex-Lunchr),,,,
861,882571,FoodChéri,0.07291666666666667,0.0,1.0,0.0
862,878119,Brigad,,,,
863,11620,Dataiku,,,,
864,912363,Meero,,,,
865,184352,InnovOrder,0.07017543859649122,0.0,0.0,0.0
866,867430,AB Tasty,,,,
867,155272,Sonnedix,0.125,0.0,0.0,0.0
868,1483011,Eversend,0.5,0.0,0.0,0.0
869,75070,Biom Up,0.34782608695652173,0.0,0.0,0.0
870,926155,Jenji,0.05714285714285714,0.0,0.0,0.0
871,395082,Wynd,,,,
872,1482074,Ellcie Healthy,0.45,0.0,0.0,0.0
873,916819,Ideol,0.46808510638297873,0.0,0.0,0.0
874,891512,La Belle Vie,0.0851063829787234,0.0,0.0,1.0
875,894808,Roger voice,0.03571428571428571,0.0,0.0,1.0
876,894858,Implicity,0.23255813953488372,0.0,1.0,0.0
877,874466,HostnFly,0.0784313725490196,1.0,0.0,0.0
878,925236,Cosmo Connected,0.13513513513513514,0.0,0.0,0.0
879,1478669,Clim8,0.16666666666666666,0.0,1.0,1.0
880,924272,Biosynex,0.14960629921259844,0.0,0.0,0.0
881,877793,Equisense,0.14285714285714285,0.0,0.0,0.0
882,926515,HireSweet,0.2222222222222222,0.0,0.0,1.0
883,1447568,Pricemoov,0.19230769230769232,0.0,0.0,0.0
884,934623,VSORA,0.2,0.0,1.0,0.0
